Region,Sub Region,City,City Index,State,Year,MMWR Week,Lookup Index,Deaths_Pneumonia_and_Influenza,Average LST_degC,Average_NDVI,TotalpopA,Malepop,pctmale,Femalepop,Medianage,TotalpopB,Age60andover,pct60andover,Age65andover,pct65andover,Age75andover,pct75andover,TotalpopC,Whitepop,pct_white,Blackpop,pct_black,AmericanIndian_AlaskaNativepop,Asianpop,NativeHawaiian_PacificIslanderpop,Otherpop
New England & Mid Atlantic,New England,Boston,6,MA,2010,1,2010_1,17,-6.2,1361.73,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,2,2010_2,13,-2.49,1361.73,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,3,2010_3,17,-5.36,3365.79,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,4,2010_4,18,-1.3,3365.79,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,5,2010_5,15,-1.92,2854.33,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,6,2010_6,11,0.66,2649.75,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,7,2010_7,15,2.41,2761.05,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,8,2010_8,12,4.25,2909.46,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,9,2010_9,11,1.03,3027.08,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,10,2010_10,13,12.17,3732.79,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,11,2010_11,15,17.24,3732.79,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,12,2010_12,14,9.96,4060.4,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,13,2010_13,13,20.76,4115,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,14,2010_14,13,19.12,4410.41,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,15,2010_15,12,16.65,4631.96,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,16,2010_16,12,19.47,5031.46,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,17,2010_17,16,18.06,6030.19,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,18,2010_18,10,26.47,6030.19,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,19,2010_19,14,19.49,6497.88,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,20,2010_20,8,22.86,6497.88,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,21,2010_21,10,28.5,6695.93,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
New England & Mid Atlantic,New England,Boston,6,MA,2010,22,2010_22,18,26.13,6775.15,621383,296201,0.476680244,325182,36.5,621383,91676,0.147535417,62998,0.101383527,30158,0.048533674,621383,336981,0.542308045,154711,0.248978488,1516,56760,133,41967
